City,CityASCII,Latitude,Longitude,Country,ISO2,ISO3,AdminName,Capital,Population
Cacolo,Cacolo,-10.1365,19.2865,Angola,AO,AGO,Lunda Sul,,984
Cacongo,Cacongo,-5.2333,12.1333,Angola,AO,AGO,Cabinda,,21000
Cacuaco,Cacuaco,-8.7833,13.3667,Angola,AO,AGO,Luanda,,1279488
Cahama,Cahama,-16.2833,14.3167,Angola,AO,AGO,Cunene,,70061
Caimbambo,Caimbambo,-12.9,14.0833,Angola,AO,AGO,Benguela,,90838
Calenga,Calenga,-11.3196,16.2,Angola,AO,AGO,Bié,,531
Calulo,Calulo,-9.9996,14.9,Angola,AO,AGO,Kwanza Sul,,795
Caluquembe,Caluquembe,-13.9208,14.5347,Angola,AO,AGO,Huíla,,25933
Camabatela,Camabatela,-8.1833,15.3667,Angola,AO,AGO,Kwanza Norte,,61769
Camacupa,Camacupa,-12.0167,17.4833,Angola,AO,AGO,Bié,,19150
Cambambe,Cambambe,-9.7431,14.4914,Angola,AO,AGO,Kwanza Norte,,90766
Capenda Camulemba,Capenda Camulemba,-9.4233,18.4328,Angola,AO,AGO,Lunda Norte,,80000
Cassongue,Cassongue,-11.8333,15,Angola,AO,AGO,Kwanza Sul,,117000
Catabola,Catabola,-12.1167,17.3,Angola,AO,AGO,Bié,,126631
Catape,Catape,-13.7667,15.0833,Angola,AO,AGO,Huíla,,167820
Catchiungo,Catchiungo,-12.5667,16.2333,Angola,AO,AGO,Huambo,,120677
Catumbela,Catumbela,-12.4167,13.5333,Angola,AO,AGO,Benguela,,175805
Caxito,Caxito,-8.5785,13.6642,Angola,AO,AGO,Bengo,admin,77276
Cazombo,Cazombo,-11.9058,22.9217,Angola,AO,AGO,Moxico,,298
Chibemba,Chibemba,-15.7355,13.8905,Angola,AO,AGO,Huíla,,1502
Chibia,Chibia,-15.1833,13.7,Angola,AO,AGO,Huíla,,190670
Chicomba,Chicomba,-14.1333,14.9167,Angola,AO,AGO,Huíla,,131807
Chinguar,Chinguar,-12.55,16.3333,Angola,AO,AGO,Bié,,129370
Chipindo,Chipindo,-13.8244,15.8,Angola,AO,AGO,Huíla,,64714
