PortName,AlternateName,Country,WaterBody,HarborSize,HarborType,HarborUse,Railway,Latitude,Longitude
Frederikshavn, ,Denmark,Kattegat; North Atlantic Ocean,Small,Coastal (Breakwater),Unknown,Medium,57.433333,10.55
Skagen Havn, ,Denmark,Kattegat; North Atlantic Ocean,Small,Coastal (Breakwater),Unknown,Small,57.716667,10.6
Thisted, ,Denmark,Kattegat; North Atlantic Ocean,Very Small,Coastal (Breakwater),Unknown,Small,56.95,8.7
Esbjerg, ,Denmark,North Sea; North Atlantic Ocean,Small,Coastal (Natural),Unknown,Small,55.466667,8.45
Middelfart, ,Denmark,Kattegat; North Atlantic Ocean,Small,Coastal (Breakwater),Unknown,Small,55.5,9.733333
Djibouti,Jibuti,Djibouti,Gulf of Aden; Indian Ocean,Small,Coastal (Natural),Cargo,Medium,11.6,43.133333
Roseau, ,Dominica,Caribbean Sea; North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,15.3,-61.4
Portsmouth,Prince Ruppert Bay,Dominica,Caribbean Sea; North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,15.566667,-61.466667
Pepillo Salcedo,Puerto Libertador; Puerto Manzanillo,Dominican Republic,North Atlantic Ocean,Very Small,Open Roadstead,Unknown,Small,19.7,-71.75
Puerto Plata, ,Dominican Republic,North Atlantic Ocean,Small,Open Roadstead,Unknown,Unknown,19.8,-70.7
Sanchez, ,Dominican Republic,North Atlantic Ocean,Very Small,Open Roadstead,Unknown,Small,19.233333,-69.616667
La Romana, ,Dominican Republic,Caribbean Sea; North Atlantic Ocean,Very Small,River (Natural),Unknown,Medium,18.416667,-68.966667
San Pedro De Macoris, ,Dominican Republic,Caribbean Sea; North Atlantic Ocean,Small,River (Natural),Unknown,Unknown,18.45,-69.316667
Andres (Andres Lng Terminal),Boca Chica,Dominican Republic,Caribbean Sea; North Atlantic Ocean,Medium,Open Roadstead,Unknown,Small,18.433333,-69.633333
Santo Domingo,Ciudad Trujillo,Dominican Republic,Caribbean Sea; North Atlantic Ocean,Medium,River (Natural),Unknown,Unknown,18.466667,-69.883333
Puerto De Haina,Haina; Rio Haina,Dominican Republic,Caribbean Sea; North Atlantic Ocean,Small,River (Natural),Unknown,Small,18.416667,-70.016667
Punta Nizao Oil Terminal, ,Dominican Republic,Caribbean Sea; North Atlantic Ocean,Small,Open Roadstead,Unknown,Unknown,18.2,-70.2
Las Calderas, ,Dominican Republic,Caribbean Sea; North Atlantic Ocean,Small,Coastal (Natural),Unknown,Unknown,18.216667,-70.516667
Puerto Viejo De Azua,Azua; Tortuguero,Dominican Republic,Caribbean Sea; North Atlantic Ocean,Very Small,Open Roadstead,Unknown,Unknown,18.35,-70.833333
Santa Cruz De Barahona,Barahona,Dominican Republic,Caribbean Sea; North Atlantic Ocean,Small,Coastal (Natural),Unknown,Medium,18.2,-71.083333
Puerto Bolivar, ,Ecuador,South Pacific Ocean,Very Small,River (Natural),Unknown,Small,-3.266667,-80
Guayaquil, ,Ecuador,South Pacific Ocean,Small,River (Natural),Unknown,Medium,-2.2,-79.883333
Puerto Maritimo De Guayaquil,Puero Nuevo,Ecuador,South Pacific Ocean,Small,River (Natural),Unknown,Medium,-2.283333,-79.9
La Libertad, ,Ecuador,South Pacific Ocean,Very Small,Open Roadstead,Unknown,Small,-2.216667,-80.916667
Manta, ,Ecuador,South Pacific Ocean,Very Small,Coastal (Breakwater),Unknown,Unknown,-0.95,-80.716667
Esmeraldas, ,Ecuador,North Pacific Ocean,Very Small,River (Natural),Unknown,Unknown,1,-79.65
Bur Said (Port Said), ,Egypt,Mediterranean Sea; North Atlantic Ocean,Large,Canal or Lake,Unknown,Medium,31.266667,32.3
Damietta, ,Egypt,Mediterranean Sea; North Atlantic Ocean,Large,Coastal (Breakwater),Unknown,Unknown,31.483333,31.75
Al Iskandariyh (Alexandria), ,Egypt,Mediterranean Sea; North Atlantic Ocean,Large,Coastal (Breakwater),Unknown,Medium,31.166667,29.833333
Sidi Kerir (Kurayr), ,Egypt,Mediterranean Sea; North Atlantic Ocean,Small,Open Roadstead,Unknown,Medium,31.1,29.616667
El Hamra Oil Terminal, ,Egypt,Mediterranean Sea; North Atlantic Ocean,Very Small,Open Roadstead,Unknown,Unknown,30.983333,28.866667
Mersa Matruh, ,Egypt,Mediterranean Sea; North Atlantic Ocean,Very Small,Coastal (Breakwater),Unknown,Unknown,31.35,27.233333
Al Qusayr,Kosseir; Quesir,Egypt,Red Sea; Indian Ocean,Very Small,Open Roadstead,Unknown,Unknown,26.1,34.283333
Bur Safaga,Bur Safajah; Port Safaga,Egypt,Red Sea; Indian Ocean,Small,Coastal (Breakwater),Unknown,Medium,26.733333,33.95
El Tur Harbor, ,Egypt,Gulf of Suez; Red Sea; Indian Ocean,Very Small,Coastal (Natural),Unknown,Unknown,28.233333,33.616667
Zeit Bay Terminal, ,Egypt,Gulf of Suez; Red Sea; Indian Ocean,Small,Open Roadstead,Unknown,Unknown,27.833333,33.6
East Zeit Terminal, ,Egypt,Gulf of Suez; Red Sea; Indian Ocean,Very Small,Open Roadstead,Unknown,Unknown,27.85,33.6
Sharm El Sheikh, ,Egypt,Red Sea; Indian Ocean,Very Small,Open Roadstead,Unknown,Unknown,27.85,34.283333
